YearEnd,Year,Rk,Unique Team,Team,ABR,CONF,G,W,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
16,2015-16,30,LosAngelesLakers16,Los Angeles Lakers,LAL,W,82,17,240.6,35.1,84.8,0.414,7.8,24.6,0.317,27.3,60.2,0.454,19.3,24.7,0.781,10.7,32.3,43,18,7.2,4.1,13.7,20.3,97.3
16,2015-16,24,MemphisGrizzlies16,Memphis Grizzlies,MEM,W,82,42,241.8,36.8,83.6,0.44,6.1,18.5,0.331,30.7,65.1,0.471,19.3,24.7,0.783,11.2,30.5,41.6,20.7,8.8,4.3,13.3,21.7,99.1
16,2015-16,23,MiamiHeat16,Miami Heat,MIA,E,82,48,241.8,38.4,81.7,0.47,6.1,18,0.336,32.3,63.6,0.508,17.1,23,0.744,9.8,34.3,44.1,20.8,6.7,6.5,14.1,18.3,100
16,2015-16,25,MilwaukeeBucks16,Milwaukee Bucks,MIL,E,82,33,241.8,38.4,82.2,0.467,5.4,15.6,0.345,33,66.6,0.495,17,22.7,0.747,10.5,31.2,41.7,23.1,8.2,5.8,15.2,20.7,99
16,2015-16,15,MinnesotaTimberwolves16,Minnesota Timberwolves,MIN,W,82,29,242.4,37.7,81.3,0.464,5.5,16.4,0.338,32.2,64.9,0.496,21.4,27,0.792,10,31.5,41.6,23.4,8,4.6,15,20.7,102.4
16,2015-16,13,NewOrleansPelicans16,New Orleans Pelicans,NO,W,82,30,241.2,38.5,85.9,0.448,8.6,23.8,0.36,29.9,62.1,0.482,17.3,22.2,0.776,9.5,33.1,42.6,22.2,7.7,4.2,13.4,20.9,102.7
16,2015-16,27,NewYorkKnicks16,New York Knicks,NYK,E,82,32,241.5,36.9,84,0.439,7.4,21.5,0.346,29.4,62.5,0.471,17.2,21.4,0.805,10.4,34,44.4,20.5,5.7,5.7,13.4,19.7,98.4
16,2015-16,2,OklahomaCityThunder16,Oklahoma City Thunder,OKC,W,82,55,241.8,41.1,86.4,0.476,8.3,23.7,0.349,32.9,62.6,0.524,19.7,25.2,0.782,13.1,35.6,48.6,23,7.4,5.9,15.9,20.6,110.2
16,2015-16,18,OrlandoMagic16,Orlando Magic,ORL,E,82,35,242.7,39.5,86.8,0.455,7.8,22.2,0.35,31.8,64.7,0.492,15.2,20.1,0.757,10.3,33,43.3,23.6,8.2,5.1,14.1,20.7,102.1
16,2015-16,29,Philadelphia76ers16,Philadelphia 76ers,PHI,E,82,10,241.5,36.2,84,0.431,9.3,27.5,0.339,26.9,56.5,0.476,15.7,22.6,0.694,9.5,31.8,41.2,21.5,8.3,6,16.4,21.7,97.4
16,2015-16,22,PhoenixSuns16,Phoenix Suns,PHO,W,82,23,240.3,37.2,85.6,0.435,9,25.8,0.348,28.2,59.8,0.472,17.5,23.2,0.751,11.5,33.3,44.8,20.7,7.7,3.8,17.2,22.7,100.9
16,2015-16,6,PortlandTrailBlazers16,Portland Trail Blazers,POR,W,82,44,241.5,38.6,85.9,0.45,10.5,28.5,0.37,28.1,57.4,0.49,17.4,23,0.754,11.6,33.9,45.5,21.3,6.9,4.6,14.6,21.7,105.1
16,2015-16,3,SacramentoKings16,Sacramento Kings,SAC,W,82,33,241.5,40,86.4,0.464,8,22.4,0.359,32,64,0.5,18.5,25.5,0.725,10.6,33.7,44.2,24.5,8.9,4.5,16.2,20.4,106.6
16,2015-16,10,SanAntonioSpurs16,San Antonio Spurs,SA,W,82,67,240.3,40.1,82.9,0.484,7,18.5,0.375,33.2,64.4,0.515,16.4,20.4,0.803,9.4,34.5,43.9,24.5,8.3,5.9,13.1,17.5,103.5
16,2015-16,14,TorontoRaptors16,Toronto Raptors,TOR,E,82,56,241.2,36.7,81.3,0.451,8.6,23.4,0.37,28,58,0.483,20.8,26.7,0.777,10.2,33.2,43.4,18.7,7.8,5.5,13.1,19.6,102.7
16,2015-16,28,UtahJazz16,Utah Jazz,UTA,W,82,40,243.4,36.1,80.4,0.449,8.5,23.9,0.355,27.6,56.5,0.488,17.1,23,0.744,10.7,32.5,43.2,19,7.7,5.2,14.9,20.2,97.7
16,2015-16,9,WashingtonWizards16,Washington Wizards,WAS,E,82,41,240.9,39.5,85.8,0.46,8.6,24.2,0.358,30.8,61.6,0.501,16.5,22.5,0.73,9.1,32.8,41.8,24.5,8.6,3.9,14.5,20.8,104.1
